Atomic#,Symbol,ElementName,AtomicWeight,Ka1 ,Intensity,Ka2 ,Intensity,Kb1 ,Intensity,Kb2 ,Intensity,Kb3 ,Intensity,La1 ,Intensity,La2 ,Intensity,Lb1 ,Intensity,Lb2 ,Intensity,Lb3 ,Intensity,Lb4 ,Intensity,Lg1 ,Intensity,Lg2 ,Intensity,Lg3 ,Intensity,Ll,Intensity
1,H,Hydrogen,1,0.012,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,He,Helium,4,0.022,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Li,Lithium,6.94,0.0543,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Be,Beryllium,9.01,0.1085,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,B,Boron,10.81,0.1833,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C,Carbon,12.01,0.277,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,N,Nitrogen,14,0.3924,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,O,Oxygen,15.99,0.5249,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,F,Fluorine,18.99,0.6768,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ne,Neon,20.18,0.8486,100,0.8486,0,0.857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Na,Sodium,22.99,1.04098,100,1.04098,0,1.0711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mg,Magnesium,24.3,1.2536,100,1.2536,0,1.3022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Al,Aluminum,36.98,1.4867,100,1.48627,0,1.55745,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Si,Silicon,28.08,1.73998,100,1.73938,0,1.83594,1.7,0,0,0,0,0.06,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0.06,100
15,P,Phosphorus,30.97,2.0137,100,2.0127,0,2.1391,4.1,0,0,0,0,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0.1,100
16,S,Sulfur,32.06,2.30784,100,2.30664,0,2.46404,6.5,0,0,0,0,0.1486,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0.1486,100
17,Cl,Chlorine,35.45,2.62239,100,2.62078,0,2.8156,8.9,0,0,0,0,0.1827,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0.1827,100
18,Ar,Argon,39.94,2.9577,100,2.95563,0,3.1905,11.3,0,0,0,0,0.2205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0,0.2205,100
19,K,Potassium,39.09,3.3138,100,3.3111,0,3.5896,13.7,0,0,0,0,0.2591,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0,0.2591,100
20,Ca,Calcium,40.08,3.69168,100,3.68809,50,4.0127,19.52,0,0,0,0,0.3413,100,0.3413,10,0.3449,12.3,0,0,0,0,0,0,0,0,0,0,0.306,0,0.302,100
21,Sc,Scandium,44.95,4.0906,100,4.0861,50,4.4605,20,0,0,0,0,0.3954,100,0.3954,10,0.3996,20,0,0,0.458,4,0.458,4,0,0,0,0,0.353,70,0.348,200
22,Ti,Titanium,47.88,4.51084,100,4.50486,50,4.93181,20.44,0,0,0,0,0.4522,100,0.4522,10,0.4584,20,0,0,0.519,4,0.519,4,0,0,0,0,0.401,55,0.395,140
23,V,Vanadium,50.94,4.9522,100,4.94464,50,5.42729,20,0,0,0,0,0.5113,100,0.5113,10,0.5192,17.6,0,0,0.585,3,0.585,3,0,0,0,0,0.453,40,0.446,90
24,Cr,Chromium,51.99,5.41472,100,5.405509,50,5.94671,20,0,0,0,0,0.5728,100,0.5728,10,0.5828,19.3,0,0,0.654,0.5,0.654,0.5,0,0,0,0,0.51,22,0.5,78
25,Mn,Manganese,54.93,5.89875,100,5.88765,50,6.49045,19.5,0,0,0,0,0.6374,100,0.6374,10,0.6488,20.9,0,0,0.721,0.5,0.721,0.5,0,0,0,0,0.567,20,0.5549,50
26,Fe,Iron,55.84,6.40384,100,6.39084,50,7.05798,20.4,0,0,0,0,0.705,100,0.705,10,0.7185,15,0,0,0.792,0.5,0.792,0.5,0,0,0,0,0.628,15,0.6146,38
27,Co,Cobalt,58.93,6.93032,100,6.9153,50,7.64943,20,0,0,0,0,0.7762,100,0.7762,10,0.7914,24.1,0,0,0.866,3,0.866,0.5,0,0,0,0,0.694,13,0.6773,40
28,Ni,Nickel,58.7,7.47815,100,7.46089,50,8.26466,20,0,0,0,0,0.8515,100,0.8515,15,0.8688,25.7,0,0,0.941,1,0.941,1,0,0,0,0,0.762,12,0.743,25
29,Cu,Copper,63.54,8.04778,100,8.02783,50,8.90529,20.25,0,0,0,0,0.9297,100,0.9297,10,0.9498,18,0,0,1.023,1,1.023,1,0,0,0,0,0.832,5,0.8121,11
30,Zn,Zinc,65.39,8.63886,100,8.61578,50,9.572,20,0,0,0,0,1.0117,100,1.0117,10,1.0347,28.6,0,0,1.107,1,1.107,1,0,0,0,0,0.906,3,0.8843,9
31,Ga,Gallium,69.72,9.25174,100,9.22482,50,10.2642,14.2,0,0,10.2589,7.3,1.09792,100,1.09792,10,1.1248,30.1,0,0,1.197,1,1.197,0.2,0,0,0,0.1,0.984,3,0.9598,8.5
32,Ge,Germanium,72.61,9.88642,100,9.85532,50,10.9821,14.4,0,0,10.9759,7.4,1.188,100,1.188,10,1.2185,31.4,0,0,1.294,0.2,1.294,0.2,0,0,0,0.1,1.068,3,1.0386,8.5
33,As,Arsenic,74.92,10.54372,100,10.50799,50,11.7262,14.7,0,0,11.7184,7.4,1.282,100,1.282,10,1.317,32.8,0,0,1.3835,0.2,1.388,3,0,0,0,0.2,1.155,3,1.1207,6
34,Se,Selenium,78.96,11.2224,100,11.1814,50,12.4959,15,12.6504,2,12.4869,7.5,1.3791,100,1.3791,10,1.41923,34.1,0,0,1.489,0.2,1.49,0.2,0,0,0,0.3,1.244,3,1.2061,7
35,Br,Bromine,79.9,11.9242,100,11.8776,50,13.2914,15.2,13.4671,2.2,13.2813,8,1.48043,100,1.48043,10,1.5259,35.4,0,0,1.598,3.3,1.596,0.2,0,0,0,0.2,1.339,3,1.295,4.5
36,Kr,Krypton,83.8,12.649,100,12.598,50,14.112,15.5,14.3116,2.4,14.102,7.6,1.586,100,1.586,10,1.6366,36.6,0,0,1.7107,3.5,1.697,0.2,0,0,0,0.3,1.438,3,1.3872,4.5
37,Rb,Rubidium,85.46,13.3953,100,13.3358,50,14.9613,15.8,15.1837,2.6,14.949,7.7,1.69413,100,1.69256,10,1.75217,37.8,0,0,1.8273,3.5,1.8161,0.2,0,0,0,0.3,1.542,3,1.4829,4.5
38,Sr,Strontium,87.62,14.165,100,14.0979,50,15.8357,16,16.0835,2.8,15.8226,7.7,1.80656,100,1.80474,10,1.87172,45,0,0,1.9478,3.9,1.9361,0.2,0,0,0,0.4,1.649,3,1.582,4
39,Y,Yttrium,88.9,14.9584,100,14.8829,50,16.7378,16.3,17.011,3,16.723,7.8,1.92256,100,1.92047,10,1.99584,50,2.075,0.7,2.0725,4.1,2.06,4,2.144,0,0,0.2,1.761,3,1.6846,5.5
40,Zr,Zirconium,91.22,15.7751,100,15.6909,50,17.6678,16.6,17.9663,3.2,17.6501,7.9,2.04236,100,2.0399,10,2.1244,44,2.2194,1.8,2.2014,4,2.1878,1.5,2.3027,0.5,0,0,1.876,3,1.7906,6
41,Nb,Niobium,92.9,16.6151,100,16.521,50,18.6225,16.8,18.9497,3.4,18.6044,7.9,2.16589,100,2.163,10,2.2574,42.2,2.367,3.3,2.3347,4.4,2.3198,4,2.4618,4.2,0,1,1.996,2,1.9001,5
42,Mo,Molybdenum,95.94,17.47934,100,17.3743,50,19.6083,17.1,19.9613,3.6,19.5858,8,2.29316,100,2.28985,10,2.39481,45,2.5183,3.9,2.4725,4.5,2.4559,4,2.6235,0.3,0,0.3,2.12,2,2.0131,4
43,Tc,Technetium,98,18.3671,100,18.2508,50,20.619,17.4,21.0015,3.8,20.5947,8,2.424,100,0,10,2.5368,45,0,6,2.6149,4.5,2.5963,4,0,1.5,0,0.3,2.249,2,2.1296,4.5
