


^Actinium,89,3,VI,1.26, 1.12, R






^Aluminium,13,3,IV,0.53, 0.39, *
^Aluminium,13,3,V,0.62, 0.48, 
^Aluminium,13,3,VI,0.675, 0.535, R*






^Americium,95,2,VII,1.35, 1.21, 
^Americium,95,2,VIII,1.4, 1.26, 
^Americium,95,2,IX,1.45, 1.31, 
^Americium,95,3,VI,1.115, 0.975, R
^Americium,95,3,VIII,1.23, 1.09, 
^Americium,95,4,VI,0.99, 0.85, R
^Americium,95,4,VIII,1.09, 0.95, 






^Antimony,51,3,IVPY,0.9, 0.76, 
^Antimony,51,3,V,0.94, 0.8, 
^Antimony,51,3,VI,0.9, 0.76, A
^Antimony,51,5,VI,0.74, 0.6, *












^Arsenic,33,3,VI,0.72, 0.58, A
^Arsenic,33,5,IV,0.475, 0.335, R*
^Arsenic,33,5,VI,0.6, 0.46, C*






^Astatine,85,7,VI,0.76, 0.62, A






^Barium,56,2,VI,1.49, 1.35, 
^Barium,56,2,VII,1.52, 1.38, C
^Barium,56,2,VIII,1.56, 1.42, 
^Barium,56,2,IX,1.61, 1.47, 
^Barium,56,2,X,1.66, 1.52, 
^Barium,56,2,XI,1.71, 1.57, 
^Barium,56,2,XII,1.75, 1.61, C






^Berkelium,97,3,VI,1.1, 0.96, R
^Berkelium,97,4,VI,0.97, 0.83, R
^Berkelium,97,4,VIII,1.07, 0.93, R






^Beryllium,4,2,III,0.3, 0.16, 
^Beryllium,4,2,IV,0.41, 0.27, *
^Beryllium,4,2,VI,0.59, 0.45, C






^Bismuth,83,3,V,1.1, 0.96, C
^Bismuth,83,3,VI,1.17, 1.03, R*
^Bismuth,83,3,VIII,1.31, 1.17, R
^Bismuth,83,5,VI,0.9, 0.76, E












^Boron,5,3,III,0.15, 0.01, *
^Boron,5,3,IV,0.25, 0.11, *
^Boron,5,3,VI,0.41, 0.27, C






^Bromine,35,-1,VI,1.82, 1.96, P
^Bromine,35,3,IVSQ,0.73, 0.59, 
^Bromine,35,5,IIIPY,0.45, 0.31, 
^Bromine,35,7,IV,0.39, 0.25, 
^Bromine,35,7,VI,0.53, 0.39, A






^Cadmium,48,2,IV,0.92, 0.78, 
^Cadmium,48,2,V,1.01, 0.87, 
^Cadmium,48,2,VI,1.09, 0.95, 
^Cadmium,48,2,VII,1.17, 1.03, C
^Cadmium,48,2,VIII,1.24, 1.1, C
^Cadmium,48,2,XII,1.45, 1.31, 






^Calcium,20,2,VI,1.14, 1, 
^Calcium,20,2,VII,1.2, 1.06, *
^Calcium,20,2,VIII,1.26, 1.12, *
^Calcium,20,2,IX,1.32, 1.18, 
^Calcium,20,2,X,1.37, 1.23, C
^Calcium,20,2,XII,1.48, 1.34, C






^Californium,98,3,VI,1.09, 0.95, R
^Californium,98,4,VI,0.961, 0.821, R
^Californium,98,4,VIII,1.06, 0.92, 






^Carbon,6,4,III,0.06, -0.08, 
^Carbon,6,4,IV,0.29, 0.15, P
^Carbon,6,4,VI,0.3, 0.16, A






